0
,,,.,.,.,P(67),.,.,.,
,,,L(57),L(62),P(57),.,.,.,P(35),
,,,P(57),L(62),P(57),.,.,.,P(35),


77
,,,.,.,L(69),.,.,L(64),.,
,,,L(42),L(69),.,.,.,L(64),.,
,,,.,.,L(42),.,.,.,.,
,,,.,.,P(67),L(67),.,.,.,
,,,.,.,.,P(67),.,.,.,
,,,L(57),L(62),P(57),.,.,.,P(35),
,,,P(57),L(62),P(57),.,.,.,P(35),


78
,,,.,.,L(42),.,.,L(64),.,
,,,.,.,.,.,.,L(64),.,
,,,.,.,L(42),.,.,.,.,
,,,.,.,P(67),L(67),.,.,.,
,,,.,.,.,P(67),.,.,.,
,,,L(57),L(62),P(57),.,.,.,P(35),
,,,P(57),L(62),P(57),.,.,.,P(35),


79
,,,.,.,L(42),.,.,L(64),.,
,,,.,.,.,.,.,L(64),.,
,,,.,.,L(42),.,.,.,.,
,,,.,.,P(67),L(67),.,.,.,
,,,.,.,.,P(67),.,.,.,
,,,.,.,P(57),.,.,.,P(35),
,,,P(57),L(57),P(57),.,.,.,P(35),


80
,,,P(71),.,L(42),.,.,L(70),.,
,,,P(71),.,.,.,L(70),.,.,
,,,P(72),P(72),L(42),.,.,.,.,
,,,.,.,P(67),L(67),.,.,.,
,,,.,.,.,P(67),.,P(73),.,
,,,.,.,P(57),P(74),.,P(73),P(35),
,,,P(57),L(57),P(57),P(74),.,.,P(35),


81
,,,.,.,L(42),.,.,L(70),.,
,,,.,.,.,.,L(70),.,.,
,,,P(72),P(72),L(42),.,.,.,.,
,,,.,.,P(67),L(67),.,.,.,
,,,.,.,.,P(67),.,P(73),.,
,,,.,.,P(57),P(74),.,P(73),P(35),
,,,P(57),L(57),P(57),P(74),.,.,P(35),


82
,,,.,.,L(42),.,.,L(70),.,
,,,.,.,.,.,L(70),.,.,
,,,.,.,L(42),.,.,.,.,
,,,.,.,P(67),L(67),.,.,.,
,,,.,.,.,P(67),.,P(73),.,
,,,.,.,P(57),P(74),.,P(73),P(35),
,,,P(57),L(57),P(57),P(74),.,.,P(35),


83
,,,.,.,L(42),.,.,L(70),.,
,,,.,.,.,.,L(70),.,.,
,,,.,.,L(42),.,.,.,.,
,,,.,.,P(67),L(67),.,.,.,
,,,.,.,.,P(67),.,.,.,
,,,.,.,P(57),P(74),.,.,P(35),
,,,P(57),L(57),P(57),P(74),.,.,P(35),


84
,,,.,.,L(42),.,.,L(70),.,
,,,.,.,.,.,L(70),.,.,
,,,.,.,L(42),.,.,.,.,
,,,.,.,P(67),L(67),.,.,.,
,,,.,.,.,P(67),.,.,.,
,,,.,.,P(57),.,.,.,P(35),
,,,P(57),L(57),P(57),.,.,.,P(35),


85
,,,.,.,L(42),.,.,L(70),.,
,,,L(75),.,.,.,L(70),P(76),P(76),
,,,L(75),P(42),P(42),.,.,.,.,
,,,.,.,P(67),L(67),.,.,.,
,,,.,.,P(67),P(67),.,L(77),L(77),
,,,.,.,P(57),.,.,P(35),P(35),
,,,.,P(57),P(57),.,.,.,P(35),


86
,,,.,.,L(42),.,.,L(70),.,
,,,L(75),.,.,.,L(70),P(76),P(76),
,,,L(75),P(42),P(42),.,.,.,.,
,,,.,.,P(67),L(67),.,.,.,
,,,.,.,P(67),P(67),.,L(77),L(77),
,,,.,.,P(57),.,.,P(35),P(35),
,,,.,.,P(57),.,.,.,P(35),


87
,,,.,.,L(42),.,.,L(70),.,
,,,L(75),.,.,.,L(70),P(76),P(76),
,,,L(75),P(42),P(42),.,.,.,.,
,,,.,.,P(67),L(67),.,.,.,
,,,.,.,P(67),P(67),.,L(77),L(77),
,,,.,.,.,.,.,P(35),P(35),
,,,.,.,.,.,.,.,P(35),


88
