0
,,,L(41),P(44),P(44),.,.,.,.,
,,,P(41),P(41),.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,P(45),P(45),.,.,.,.,.,
,,,L(43),L(43),L(41),.,.,.,.,
,,,.,L(12),.,.,.,.,.,
,,,L(38),.,L(38),L(12),.,.,.,


47
,,,L(41),P(44),P(44),.,.,.,.,
,,,P(41),P(41),.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,L(43),L(43),L(41),.,.,.,.,
,,,.,L(12),.,.,.,.,.,
,,,L(38),.,L(38),L(12),.,.,.,


48
,,,L(41),P(44),P(44),.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,L(43),L(43),L(41),.,.,.,.,
,,,.,L(12),.,.,.,.,.,
,,,L(38),.,L(38),L(12),.,.,.,


49
,,,L(41),.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,L(43),L(43),L(41),.,.,.,.,
,,,.,L(12),.,.,.,.,.,
,,,L(38),.,L(38),L(12),.,.,.,


50
,,,.,.,.,.,L(49),.,.,
,,,L(41),P(47),.,.,L(49),L(48),L(48),
,,,.,P(47),.,.,.,.,.,
,,,.,.,.,.,P(50),P(50),.,
,,,L(43),L(43),.,.,.,.,.,
,,,.,L(12),L(41),.,.,.,.,
,,,L(12),.,.,.,.,.,.,


51
,,,.,.,.,.,L(49),.,.,
,,,L(41),P(47),.,.,L(49),L(48),L(48),
,,,.,P(47),.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,L(43),L(43),.,.,.,.,.,
,,,.,L(12),L(41),.,.,.,.,
,,,L(12),.,.,.,.,.,.,


52
,,,.,.,.,.,L(49),.,.,
,,,L(41),.,.,.,L(49),L(48),L(48),
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,L(43),L(43),.,.,.,.,.,
,,,.,L(12),L(41),.,.,.,.,
,,,L(12),.,.,.,.,.,.,


53
,,,.,.,.,.,L(49),.,.,
,,,L(41),.,.,.,L(49),.,.,
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,L(43),L(43),.,.,.,.,.,
,,,.,L(12),L(41),.,.,.,.,
,,,L(12),.,.,.,.,.,.,


54
,,,.,.,.,.,.,.,.,
,,,L(41),.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,L(43),L(43),.,.,.,.,.,
,,,.,L(12),L(41),.,.,.,.,
,,,L(12),.,.,.,.,.,.,


55
,,,.,.,.,.,.,.,P(52),
,,,.,P(53),P(53),.,.,.,P(52),
,,,L(41),.,.,.,.,.,P(51),
,,,.,L(43),.,.,.,P(51),.,
,,,L(43),.,.,.,.,.,.,
,,,L(12),L(12),L(41),.,.,.,.,
,,,.,.,.,.,.,.,.,


56
,,,.,.,.,.,.,.,P(52),
,,,.,.,.,.,.,.,P(52),
,,,L(41),.,.,.,.,.,P(51),
,,,.,L(43),.,.,.,P(51),.,
,,,L(43),.,.,.,.,.,.,
,,,L(12),L(12),L(41),.,.,.,.,
,,,.,.,.,.,.,.,.,


57
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,L(41),.,.,.,.,.,P(51),
,,,.,L(43),.,.,.,P(51),.,
,,,L(43),.,.,.,.,.,.,
,,,L(12),L(12),L(41),.,.,.,.,
,,,.,.,.,.,.,.,.,


58
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,L(41),.,.,.,.,.,P(51),
,,,.,L(43),.,.,.,.,P(51),
,,,L(43),.,.,.,.,.,.,
,,,L(12),L(12),L(41),.,.,.,.,
,,,.,.,.,.,.,.,.,


59
,,,.,.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,L(41),.,.,.,.,.,.,
,,,.,L(43),.,.,.,.,.,
,,,L(43),.,.,.,.,.,.,
,,,L(12),L(12),L(41),.,.,.,.,
,,,.,.,.,.,.,.,.,


60
,,,.,.,.,.,.,.,L(56),
,,,.,.,P(54),P(54),.,L(56),.,
,,,L(41),.,.,.,.,.,.,
,,,P(43),L(43),.,.,.,.,.,
,,,P(43),.,.,.,.,.,.,
,,,L(41),.,L(55),.,.,.,.,
,,,.,P(55),P(55),.,.,.,.,


61
,,,.,.,.,.,.,.,L(56),
,,,.,.,P(54),P(54),.,L(56),.,
,,,L(41),.,.,.,.,.,.,
,,,P(43),L(43),.,.,.,.,.,
,,,P(43),.,.,.,.,.,.,
,,,L(41),.,L(55),.,.,.,.,
,,,.,.,L(55),.,.,.,.,


62
,,,.,.,.,.,.,.,L(56),
,,,.,.,P(54),P(54),.,L(56),.,
,,,L(41),.,.,.,.,.,.,
,,,L(43),L(43),.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,L(41),.,L(55),.,.,.,.,
,,,.,.,L(55),.,.,.,.,


63
,,,.,.,.,.,.,.,L(56),
,,,.,.,.,.,.,L(56),.,
,,,L(41),.,.,.,.,.,.,
,,,L(43),L(43),.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,L(41),.,L(55),.,.,.,.,
,,,.,.,L(55),.,.,.,.,


64
,,,.,.,.,.,.,.,L(56),
,,,.,.,.,.,.,L(56),.,
,,,L(41),.,.,.,.,.,.,
,,,L(43),L(43),.,.,.,.,.,
,,,.,.,.,.,.,.,.,
,,,L(41),.,.,.,.,.,.,
,,,.,.,.,.,.,.,.,


65
,,,.,.,.,.,.,L(56),L(56),
,,,.,.,.,.,.,.,.,
,,,L(41),.,.,.,.,.,.,
,,,P(59),.,.,.,.,.,.,
,,,P(59),L(58),.,.,.,.,.,
,,,L(41),.,.,.,.,L(57),.,
,,,.,L(58),.,.,L(57),.,.,


66
,,,.,.,.,.,.,L(56),L(56),
,,,.,.,.,.,.,.,.,
,,,L(41),.,.,.,.,.,.,
,,,P(41),.,.,.,.,.,.,
,,,P(41),L(58),.,.,.,.,.,
,,,.,.,.,.,.,L(57),.,
,,,.,L(58),.,.,L(57),.,.,


67
